name,platform_group,platform,year_of_release,genre,na_sales,eu_sales,jp_sales,total_sales,other_sales,critic_score,user_score,rating,rat_sem
call of duty black ops,PlayStation,PS3,2010,Shooter,5.99,4.37,0.48,12.629999999999999,1.79,88.0,6.4,M,Mature
grand theft auto v,PlayStation,PS4,2014,Action,3.96,6.31,0.38,12.620000000000001,1.97,97.0,8.3,M,Mature
animal crossing wild world,Nintendo,DS,2005,Simulation,2.5,3.45,5.33,12.14,0.86,86.0,8.7,E,Everyone
halo 3,XBox,X360,2007,Shooter,7.97,2.81,0.13,12.120000000000001,1.21,94.0,7.8,M,Mature
super mario 64,Nintendo,N64,1996,Platform,6.91,2.85,1.91,11.9,0.23,,,,Pending
pokemon heartgold/pokemon soulsilver,Nintendo,DS,2009,Action,4.34,2.71,3.96,11.77,0.76,,,,Pending
pokemon omega ruby/pokemon alpha sapphire,Nintendo,3DS,2014,Role-Playing,4.35,3.49,3.1,11.68,0.74,,,,Pending
gran turismo 4,PlayStation,PS2,2004,Racing,3.01,0.01,1.1,11.649999999999999,7.53,89.0,8.5,E,Everyone
super mario galaxy,Nintendo,Wii,2007,Platform,6.06,3.35,1.2,11.35,0.74,97.0,8.9,E,Everyone
super mario land 2 6 golden coins,Nintendo,GB,1992,Adventure,6.16,2.04,2.69,11.179999999999998,0.29,,,,Pending
grand theft auto iv,XBox,X360,2008,Action,6.76,3.07,0.14,11.0,1.03,98.0,7.9,M,Mature
gran turismo,PlayStation,PS,1997,Racing,4.02,3.87,2.54,10.95,0.52,96.0,8.7,E,Everyone
super mario 3d land,Nintendo,3DS,2011,Platform,4.89,3.0,2.14,10.809999999999999,0.78,90.0,8.4,E,Everyone
gran turismo 5,PlayStation,PS3,2010,Racing,2.96,4.82,0.81,10.7,2.11,84.0,7.5,E,Everyone
call of duty modern warfare 2,PlayStation,PS3,2009,Shooter,4.99,3.64,0.38,10.610000000000001,1.6,94.0,6.3,M,Mature
super mario all-stars,Nintendo,SNES,1993,Platform,5.99,2.15,2.12,10.55,0.29,,,,Pending
grand theft auto iv,PlayStation,PS3,2008,Action,4.76,3.69,0.44,10.499999999999998,1.61,98.0,7.5,M,Mature
pokemon firered/pokemon leafgreen,Nintendo,GBA,2004,Role-Playing,4.34,2.65,3.15,10.49,0.35,,,,Pending
super mario 64,Nintendo,DS,2004,Platform,5.01,3.07,1.25,10.3,0.97,,,,Pending
call of duty ghosts,XBox,X360,2013,Shooter,6.73,2.56,0.04,10.24,0.91,73.0,2.6,M,Mature
just dance 3,Nintendo,Wii,2011,Misc,5.95,3.11,0.0,10.120000000000001,1.06,74.0,7.8,E10+,Everyone 10y+
new super mario bros. 2,Nintendo,3DS,2012,Platform,3.66,3.14,2.47,9.900000000000002,0.63,78.0,7.2,E,Everyone
mario kart 64,Nintendo,N64,1996,Racing,5.55,1.94,2.23,9.870000000000001,0.15,,,,Pending
halo reach,XBox,X360,2010,Shooter,7.04,1.95,0.08,9.86,0.79,91.0,7.9,M,Mature
final fantasy vii,PlayStation,PS,1997,Role-Playing,3.01,2.47,3.28,9.719999999999999,0.96,92.0,9.2,T,Teens
halo 4,XBox,X360,2012,Shooter,6.65,2.28,0.04,9.709999999999999,0.74,87.0,7.0,M,Mature
gran turismo 2,PlayStation,PS,1999,Racing,3.88,3.42,1.69,9.49,0.5,93.0,9.0,T,Teens
just dance 2,Nintendo,Wii,2010,Misc,5.8,2.85,0.01,9.44,0.78,74.0,7.3,E10+,Everyone 10y+
call of duty ghosts,PlayStation,PS3,2013,Shooter,4.1,3.63,0.38,9.36,1.25,71.0,2.6,M,Mature
call of duty 4 modern warfare,XBox,X360,2007,Shooter,5.93,2.36,0.13,9.32,0.9,94.0,8.4,M,Mature
donkey kong country,Nintendo,SNES,1994,Platform,4.36,1.71,3.0,9.3,0.23,,,,Pending
minecraft,XBox,X360,2013,Misc,5.7,2.65,0.02,9.18,0.81,,,,Pending
animal crossing new leaf,Nintendo,3DS,2012,Simulation,2.03,2.36,4.39,9.17,0.39,88.0,8.7,E,Everyone
mario party ds,Nintendo,DS,2007,Misc,4.4,1.85,1.98,8.91,0.68,72.0,7.8,E,Everyone
the elder scrolls v skyrim,XBox,X360,2011,Role-Playing,5.05,2.79,0.1,8.79,0.85,96.0,8.4,M,Mature
super mario kart,Nintendo,SNES,1992,Racing,3.54,1.24,3.81,8.77,0.18,,,,Pending
fifa 16,PlayStation,PS4,2015,Sports,1.12,6.12,0.06,8.58,1.28,82.0,4.3,E,Everyone
halo 2,XBox,XB,2004,Shooter,6.82,1.53,0.05,8.48,0.08,95.0,8.2,M,Mature
wii party,Nintendo,Wii,2010,Misc,1.75,3.47,2.49,8.38,0.67,68.0,7.4,E,Everyone
mario party 8,Nintendo,Wii,2007,Misc,3.74,2.24,1.58,8.26,0.7,62.0,6.3,E,Everyone
fifa soccer 13,PlayStation,PS3,2012,Action,1.06,5.01,0.13,8.17,1.97,88.0,6.6,E,Everyone
goldeneye 007,Nintendo,N64,1997,Shooter,5.8,2.01,0.13,8.09,0.15,,,,Pending
pokemon black 2/pokemon white 2,Nintendo,DS,2012,Role-Playing,2.79,1.72,3.14,8.06,0.41,,,,Pending
final fantasy x,PlayStation,PS2,2001,Role-Playing,2.91,2.07,2.73,8.040000000000001,0.33,92.0,8.7,T,Teens
the sims 3,PC,PC,2009,Simulation,0.99,6.42,0.0,8.01,0.6,86.0,7.6,T,Teens
mario & sonic at the olympic games,Nintendo,Wii,2007,Sports,2.57,3.86,0.66,8.0,0.91,,,,Pending
star wars battlefront (2015),PlayStation,PS4,2015,Shooter,2.99,3.49,0.22,7.98,1.28,,,,Pending
final fantasy viii,PlayStation,PS,1999,Role-Playing,2.28,1.72,3.63,7.86,0.23,90.0,8.6,T,Teens
pac-man,Other,2600,1982,Puzzle,7.28,0.45,0.0,7.8100000000000005,0.08,,,,Pending
pokémon platinum version,Nintendo,DS,2008,Role-Playing,2.76,1.72,2.69,7.71,0.54,83.0,8.5,E,Everyone
grand theft auto liberty city stories,PlayStation,PSP,2005,Action,2.9,2.81,0.24,7.68,1.73,88.0,7.6,M,Mature
call of duty advanced warfare,PlayStation,PS4,2014,Shooter,2.81,3.48,0.14,7.66,1.23,83.0,5.7,M,Mature
the legend of zelda ocarina of time,Nintendo,N64,1998,Action,4.1,1.89,1.45,7.6,0.16,,,,Pending
fifa 17,PlayStation,PS4,2016,Sports,0.66,5.75,0.08,7.6000000000000005,1.11,85.0,5.0,E,Everyone
crash bandicoot 2 cortex strikes back,PlayStation,PS,1997,Platform,3.78,2.17,1.31,7.569999999999999,0.31,,,,Pending
super smash bros. for wii u and 3ds,Nintendo,3DS,2014,Fighting,3.27,1.37,2.43,7.550000000000001,0.48,,,,Pending
super mario galaxy 2,Nintendo,Wii,2010,Platform,3.56,2.35,0.98,7.510000000000001,0.62,97.0,9.1,E,Everyone
super mario bros. 2,Nintendo,NES,1988,Platform,5.39,1.18,0.7,7.46,0.19,,,,Pending
call of duty black ops 3,XBox,XOne,2015,Shooter,4.59,2.11,0.01,7.389999999999999,0.68,,,,Pending
call of duty world at war,XBox,X360,2008,Shooter,4.81,1.88,0.0,7.379999999999999,0.69,84.0,7.6,M,Mature
battlefield 3,XBox,X360,2011,Shooter,4.46,2.11,0.06,7.32,0.69,84.0,7.4,M,Mature
need for speed underground,PlayStation,PS2,2003,Racing,3.27,2.83,0.08,7.199999999999999,1.02,85.0,8.6,E,Everyone
just dance,Nintendo,Wii,2009,Misc,3.48,2.99,0.0,7.200000000000001,0.73,49.0,8.0,E10+,Everyone 10y+
battlefield 3,PlayStation,PS3,2011,Shooter,2.85,2.89,0.35,7.17,1.08,85.0,7.5,M,Mature
fallout 4,PlayStation,PS4,2015,Role-Playing,2.53,3.27,0.24,7.17,1.13,87.0,6.5,M,Mature
tekken 3,PlayStation,PS,1998,Fighting,3.27,2.22,1.4,7.180000000000001,0.29,96.0,9.1,T,Teens
the legend of zelda twilight princess,Nintendo,Wii,2006,Action,3.74,2.14,0.6,7.16,0.68,95.0,9.0,T,Teens
pokemon sun/moon,Nintendo,3DS,2016,Role-Playing,2.98,1.45,2.26,7.14,0.45,,,,Pending
crash bandicoot 3 warped,PlayStation,PS,1998,Platform,3.68,1.75,1.42,7.13,0.28,91.0,8.9,E,Everyone
mario kart 8,Nintendo,WiiU,2014,Racing,3.15,2.15,1.28,7.09,0.51,88.0,9.1,E,Everyone
super smash bros. melee,Nintendo,GC,2001,Fighting,4.41,1.04,1.39,7.06,0.22,92.0,9.1,T,Teens
mario kart double dash!!,Nintendo,GC,2003,Racing,4.12,1.77,0.87,6.950000000000001,0.19,,,,Pending
need for speed underground 2,PlayStation,PS2,2004,Racing,2.71,3.02,0.08,6.9,1.09,82.0,8.6,E,Everyone
medal of honor frontline,PlayStation,PS2,2002,Shooter,2.93,2.75,0.17,6.84,0.99,88.0,8.5,T,Teens
crash bandicoot,PlayStation,PS,1996,Platform,3.23,2.35,0.94,6.819999999999999,0.3,,,,Pending
just dance 4,Nintendo,Wii,2012,Misc,4.05,2.16,0.0,6.76,0.55,74.0,7.3,E10+,Everyone 10y+
gears of war 2,XBox,X360,2008,Shooter,4.15,1.9,0.06,6.75,0.64,93.0,7.7,M,Mature
uncharted 3 drake's deception,PlayStation,PS3,2011,Action,2.77,2.75,0.19,6.74,1.03,92.0,8.3,T,Teens
zumba fitness,Nintendo,Wii,2010,Sports,3.45,2.59,0.0,6.7,0.66,,,E,Everyone
call of duty 4 modern warfare,PlayStation,PS3,2007,Shooter,3.11,2.26,0.28,6.68,1.03,94.0,8.4,M,Mature
uncharted 2 among thieves,PlayStation,PS3,2009,Action,3.27,2.2,0.21,6.66,0.98,96.0,8.8,T,Teens
fifa 12,PlayStation,PS3,2011,Sports,0.84,4.3,0.11,6.64,1.39,,,,Pending
big brain academy,Nintendo,DS,2005,Misc,1.66,2.75,1.6,6.63,0.62,74.0,7.4,E,Everyone
the legend of zelda,Nintendo,NES,1986,Action,3.74,0.93,1.69,6.499999999999999,0.14,,,,Pending
red dead redemption,PlayStation,PS3,2010,Action,2.79,2.53,0.17,6.48,0.99,95.0,8.8,M,Mature
fifa 14,PlayStation,PS3,2013,Sports,0.78,4.24,0.07,6.460000000000001,1.37,86.0,4.3,E,Everyone
assassin's creed iii,PlayStation,PS3,2012,Action,2.64,2.52,0.16,6.44,1.12,85.0,6.9,M,Mature
donkey kong country returns,Nintendo,Wii,2010,Platform,3.17,1.79,1.03,6.45,0.46,87.0,8.6,E,Everyone
halo combat evolved,XBox,XB,2001,Shooter,4.98,1.3,0.08,6.430000000000001,0.07,97.0,8.6,M,Mature
the elder scrolls v skyrim,PlayStation,PS3,2011,Role-Playing,2.55,2.6,0.25,6.4,1.0,92.0,6.4,M,Mature
pokémon emerald version,Nintendo,GBA,2004,Role-Playing,2.57,1.58,2.06,6.420000000000001,0.21,76.0,9.0,E,Everyone
kingdom hearts,PlayStation,PS2,2002,Role-Playing,3.64,1.2,1.49,6.4,0.07,85.0,8.8,E,Everyone
pokémon crystal version,Nintendo,GB,2000,Role-Playing,2.55,1.56,1.29,6.39,0.99,,,,Pending
halo 3 odst,XBox,X360,2009,Shooter,4.34,1.34,0.06,6.35,0.61,83.0,7.1,M,Mature
red dead redemption,XBox,X360,2010,Action,3.7,1.95,0.09,6.32,0.58,95.0,9.0,M,Mature
super mario sunshine,Nintendo,GC,2002,Platform,4.01,1.26,0.87,6.31,0.17,92.0,8.6,E,Everyone
street fighter ii the world warrior,Nintendo,SNES,1992,Fighting,2.47,0.83,2.87,6.29,0.12,,,,Pending
world of warcraft,PC,PC,2004,Role-Playing,0.08,6.21,0.0,6.29,0.0,93.0,7.3,T,Teens
driver,PlayStation,PS,1999,Action,3.11,2.8,0.02,6.26,0.33,87.0,8.1,T,Teens
gears of war 3,XBox,X360,2011,Shooter,4.05,1.59,0.07,6.21,0.5,91.0,7.8,M,Mature
kinect sports,XBox,X360,2010,Sports,3.92,1.73,0.03,6.19,0.51,73.0,7.4,E10+,Everyone 10y+
gears of war,XBox,X360,2006,Shooter,3.54,1.88,0.07,6.09,0.6,94.0,8.3,M,Mature
fifa 15,PlayStation,PS4,2014,Sports,0.8,4.33,0.05,6.08,0.9,82.0,5.7,E,Everyone
metal gear solid 2 sons of liberty,PlayStation,PS2,2001,Action,2.45,2.01,0.87,6.05,0.72,96.0,8.7,M,Mature
sonic the hedgehog 2,Other,GEN,1992,Platform,4.47,1.2,0.16,6.0200000000000005,0.19,,,,Pending
metal gear solid,PlayStation,PS,1998,Action,3.18,1.83,0.78,6.03,0.24,94.0,9.4,M,Mature
metal gear solid 4 guns of the patriots,PlayStation,PS3,2008,Action,2.63,1.71,0.83,5.99,0.82,94.0,8.7,M,Mature
final fantasy xii,PlayStation,PS2,2006,Role-Playing,1.88,0.0,2.33,5.95,1.74,92.0,7.6,T,Teens
the last of us,PlayStation,PS3,2013,Action,2.41,2.18,0.28,5.86,0.99,95.0,9.1,M,Mature
littlebigplanet,PlayStation,PS3,2008,Platform,2.8,1.98,0.17,5.819999999999999,0.87,95.0,6.8,E,Everyone
resident evil 2,PlayStation,PS,1998,Action,1.88,1.47,2.02,5.819999999999999,0.45,89.0,9.2,M,Mature
dragon quest ix sentinels of the starry skies,Nintendo,DS,2009,Role-Playing,0.63,0.67,4.35,5.8,0.15,87.0,8.8,E10+,Everyone 10y+
tekken 2,PlayStation,PS,1996,Fighting,2.26,1.89,1.36,5.74,0.23,89.0,8.9,T,Teens
destiny,PlayStation,PS4,2014,Shooter,2.49,2.07,0.16,5.640000000000001,0.92,76.0,6.1,T,Teens
lego star wars the complete saga,Nintendo,Wii,2007,Action,3.57,1.55,0.0,5.63,0.51,80.0,8.9,E10+,Everyone 10y+
cooking mama,Nintendo,DS,2006,Simulation,3.07,1.91,0.07,5.62,0.57,67.0,7.2,E,Everyone
tetris,Nintendo,NES,1988,Puzzle,2.97,0.69,1.81,5.580000000000001,0.11,,,,Pending
super smash bros.,Nintendo,N64,1999,Fighting,2.95,0.6,1.97,5.5600000000000005,0.04,,,,Pending
assassin's creed ii,PlayStation,PS3,2009,Action,2.54,1.93,0.21,5.54,0.86,91.0,8.6,M,Mature
assassin's creed,XBox,X360,2007,Adventure,3.28,1.64,0.07,5.550000000000001,0.56,81.0,7.7,M,Mature
forza motorsport 3,XBox,X360,2009,Racing,2.99,1.9,0.1,5.49,0.5,92.0,8.0,E,Everyone
super mario advance,Nintendo,GBA,2001,Platform,3.14,1.24,0.91,5.49,0.2,84.0,7.8,E,Everyone
monster hunter freedom unite,PlayStation,PSP,2008,Role-Playing,0.47,0.55,4.13,5.49,0.34,81.0,8.7,T,Teens
batman arkham city,PlayStation,PS3,2011,Action,2.71,1.85,0.11,5.48,0.81,96.0,8.6,T,Teens
grand theft auto v,XBox,XOne,2014,Action,2.81,2.19,0.0,5.47,0.47,97.0,7.9,M,Mature
mario kart super circuit,Nintendo,GBA,2001,Racing,2.62,1.64,0.99,5.48,0.23,93.0,8.3,E,Everyone
super mario world,Nintendo,GBA,2001,Platform,3.21,1.11,0.95,5.470000000000001,0.2,,,,Pending
pokemon stadium,Nintendo,N64,1999,Strategy,3.18,1.24,0.94,5.449999999999999,0.09,,,,Pending
crash bandicoot the wrath of cortex,PlayStation,PS2,2001,Platform,2.07,2.29,0.24,5.42,0.82,66.0,7.1,E,Everyone
call of duty world at war,PlayStation,PS3,2008,Shooter,2.73,1.83,0.0,5.390000000000001,0.83,85.0,7.6,M,Mature
uncharted 4 a thief's end,PlayStation,PS4,2016,Shooter,1.85,2.5,0.19,5.39,0.85,93.0,7.9,T,Teens
dr. mario,Nintendo,GB,1989,Puzzle,2.18,0.96,2.0,5.340000000000001,0.2,,,,Pending
final fantasy xiii,PlayStation,PS3,2009,Role-Playing,1.74,1.21,1.87,5.33,0.51,83.0,7.3,T,Teens
pokemon pinball,Nintendo,GB,1999,Misc,3.02,1.12,1.01,5.3100000000000005,0.16,,,,Pending
final fantasy ix,PlayStation,PS,2000,Role-Playing,1.62,0.77,2.78,5.31,0.14,94.0,8.9,T,Teens
assassin's creed iii,XBox,X360,2012,Action,3.13,1.69,0.03,5.290000000000001,0.44,84.0,6.7,M,Mature
final fantasy x-2,PlayStation,PS2,2003,Role-Playing,1.92,1.08,2.11,5.279999999999999,0.17,85.0,6.6,T,Teens
donkey kong 64,Nintendo,N64,1999,Platform,3.33,0.79,1.09,5.27,0.06,,,,Pending
call of duty advanced warfare,XBox,XOne,2014,Shooter,3.22,1.55,0.01,5.26,0.48,81.0,5.4,M,Mature
minecraft,PlayStation,PS3,2014,Misc,2.03,2.37,0.0,5.2700000000000005,0.87,,,,Pending
assassin's creed ii,XBox,X360,2009,Action,3.11,1.55,0.08,5.25,0.51,90.0,8.8,M,Mature
tomb raider ii,PlayStation,PS,1997,Action,2.3,2.46,0.2,5.24,0.28,85.0,,T,Teens
madden nfl 2004,PlayStation,PS2,,Sports,4.26,0.26,0.01,5.239999999999999,0.71,94.0,8.5,E,Everyone
tomodachi life,Nintendo,3DS,2013,Simulation,0.97,2.11,1.9,5.220000000000001,0.24,,,,Pending
new super mario bros. u,Nintendo,WiiU,2012,Platform,2.3,1.34,1.27,5.23,0.32,84.0,8.1,E,Everyone
dragon quest viii journey of the cursed king,PlayStation,PS2,2004,Role-Playing,0.65,0.75,3.61,5.21,0.2,89.0,8.8,T,Teens
super mario bros. 3,Nintendo,GBA,2003,Platform,2.93,1.25,0.83,5.21,0.2,,,,Pending
professor layton and the curious village,Nintendo,DS,2007,Puzzle,1.21,2.43,1.03,5.1899999999999995,0.52,85.0,8.6,E,Everyone
super mario land 3 wario land,Nintendo,GB,1994,Platform,2.49,0.98,1.57,5.19,0.15,,,,Pending
fifa soccer 13,XBox,X360,2012,Action,1.09,3.47,0.03,5.160000000000001,0.57,90.0,6.1,E,Everyone
donkey kong country 2 diddy's kong quest,Nintendo,SNES,1995,Platform,2.1,0.74,2.2,5.15,0.11,,,,Pending
diablo iii,PC,PC,2012,Role-Playing,2.44,2.16,0.0,5.14,0.54,88.0,4.0,M,Mature
medal of honor rising sun,PlayStation,PS2,2003,Shooter,1.98,2.23,0.13,5.14,0.8,68.0,7.6,T,Teens
kirby's dream land,Nintendo,GB,1992,Platform,2.71,0.61,1.7,5.13,0.11,,,,Pending
microsoft flight simulator,PC,PC,1996,Simulation,3.22,1.69,0.0,5.11,0.2,,,,Pending
guitar hero ii,PlayStation,PS2,2006,Misc,3.81,0.63,0.0,5.12,0.68,92.0,8.5,T,Teens
fable iii,XBox,X360,2010,Role-Playing,3.59,1.08,0.05,5.1,0.38,80.0,6.5,M,Mature
mario & sonic at the olympic games,Nintendo,DS,2008,Sports,1.63,2.45,0.44,5.090000000000001,0.57,,,,Pending
resident evil 5,PlayStation,PS3,2009,Action,1.96,1.41,1.08,5.09,0.64,84.0,7.5,M,Mature
the legend of zelda phantom hourglass,Nintendo,DS,2007,Action,1.85,1.8,0.95,5.08,0.48,90.0,8.0,E,Everyone
super mario bros.,Nintendo,GB,1999,Platform,3.4,1.3,0.15,5.07,0.22,,,,Pending
fifa soccer 11,PlayStation,PS3,2010,Sports,0.61,3.28,0.06,5.07,1.12,89.0,8.0,E,Everyone
resident evil,PlayStation,PS,1996,Action,2.05,1.16,1.11,5.050000000000001,0.73,91.0,9.0,M,Mature
grand theft auto vice city stories,PlayStation,PSP,2006,Action,1.7,1.99,0.16,5.03,1.18,86.0,8.0,M,Mature
tony hawk's pro skater,PlayStation,PS,1999,Sports,3.42,1.38,0.02,5.02,0.2,92.0,9.2,T,Teens
warzone 2100,PlayStation,PS,1999,Strategy,2.79,1.89,0.0,5.01,0.33,,,,Pending
spyro the dragon,PlayStation,PS,1998,Platform,3.36,1.36,0.07,5.0,0.21,,,,Pending
guitar hero iii legends of rock,PlayStation,PS2,2007,Misc,3.49,0.01,0.01,4.99,1.48,82.0,8.2,T,Teens
link's crossbow training,Nintendo,Wii,2007,Shooter,3.05,1.17,0.29,4.97,0.46,68.0,7.1,T,Teens
pokemon mystery dungeon explorers of time/explorers of darkness,Nintendo,DS,2007,Role-Playing,1.83,1.19,1.54,4.930000000000001,0.37,,,,Pending
fallout 3,XBox,X360,2008,Role-Playing,3.4,0.99,0.09,4.93,0.45,93.0,8.5,M,Mature
uncharted drake's fortune,PlayStation,PS3,2007,Action,2.31,1.72,0.12,4.92,0.77,88.0,8.1,T,Teens
madden nfl 06,PlayStation,PS2,2005,Sports,3.98,0.26,0.01,4.91,0.66,88.0,8.0,E,Everyone
diddy kong racing,Nintendo,N64,1997,Racing,2.91,0.99,0.89,4.89,0.1,,,,Pending
monster hunter freedom 3,PlayStation,PSP,2010,Role-Playing,0.0,0.0,4.87,4.87,0.0,,,,Pending
super smash bros. for wii u and 3ds,Nintendo,WiiU,2014,Fighting,2.6,1.08,0.81,4.87,0.38,,,,Pending
dr. mario,Nintendo,NES,1990,Puzzle,2.62,0.6,1.52,4.84,0.1,,,,Pending
starcraft ii wings of liberty,PC,PC,2010,Strategy,2.57,1.68,0.0,4.83,0.58,93.0,8.2,T,Teens
assassin's creed,PlayStation,PS3,2007,Adventure,1.91,2.0,0.09,4.82,0.82,81.0,7.3,M,Mature
god of war iii,PlayStation,PS3,2010,Action,2.74,1.33,0.12,4.800000000000001,0.61,92.0,8.7,M,Mature
crash team racing,PlayStation,PS,1999,Racing,2.57,1.57,0.44,4.79,0.21,88.0,9.0,E,Everyone
lego star wars the complete saga,Nintendo,DS,2007,Action,2.83,1.48,0.0,4.760000000000001,0.45,80.0,5.4,E,Everyone
driver 2,PlayStation,PS,2000,Action,2.36,2.1,0.02,4.7299999999999995,0.25,62.0,7.7,T,Teens
batman arkham city,XBox,X360,2011,Action,2.99,1.27,0.04,4.72,0.42,94.0,8.7,T,Teens
the last of us,PlayStation,PS4,2014,Action,1.88,2.0,0.07,4.72,0.77,,,,Pending
the simpsons hit & run,PlayStation,PS2,2003,Racing,1.73,2.19,0.0,4.71,0.79,,,,Pending
tony hawk's pro skater 2,PlayStation,PS,2000,Sports,3.05,1.41,0.02,4.68,0.2,98.0,7.7,T,Teens
the lord of the rings the two towers,PlayStation,PS2,2002,Action,1.94,1.95,0.08,4.67,0.7,82.0,8.2,T,Teens
tomb raider,PlayStation,PS,1996,Action,2.29,1.97,0.13,4.63,0.24,91.0,8.6,T,Teens
animal crossing city folk,Nintendo,Wii,2008,Simulation,1.82,1.12,1.32,4.620000000000001,0.36,73.0,7.6,E,Everyone
uncharted the nathan drake collection,PlayStation,PS4,2015,Action,2.07,1.71,0.08,4.62,0.76,86.0,8.1,T,Teens
the legend of zelda a link to the past,Nintendo,SNES,1991,Action,2.42,0.91,1.15,4.61,0.13,,,,Pending
